,model,scenario,run,startyear,endyear
0,BCC-CSM2-MR,ssp126,r1i1p1f1,2015,2058
1,BCC-CSM2-MR,ssp126,r1i1p1f1,2058,2101
2,BCC-CSM2-MR,historical,r1i1p1f1,1985,2015
3,BCC-CSM2-MR,ssp245,r1i1p1f1,2015,2058
4,BCC-CSM2-MR,ssp245,r1i1p1f1,2058,2101
5,BCC-CSM2-MR,ssp585,r1i1p1f1,2015,2058
6,BCC-CSM2-MR,ssp585,r1i1p1f1,2058,2101
7,CMCC-CM2-SR5,ssp126,r1i1p1f1,2015,2058
8,CMCC-CM2-SR5,ssp126,r1i1p1f1,2058,2101
9,CMCC-CM2-SR5,historical,r1i1p1f1,1985,2015
10,CMCC-CM2-SR5,ssp245,r1i1p1f1,2015,2058
11,CMCC-CM2-SR5,ssp245,r1i1p1f1,2058,2101
12,CMCC-CM2-SR5,ssp585,r1i1p1f1,2015,2058
13,CMCC-CM2-SR5,ssp585,r1i1p1f1,2058,2101
14,CMCC-ESM2,ssp126,r1i1p1f1,2015,2058
15,CMCC-ESM2,ssp126,r1i1p1f1,2058,2101
16,CMCC-ESM2,historical,r1i1p1f1,1985,2015
17,CMCC-ESM2,ssp245,r1i1p1f1,2015,2058
18,CMCC-ESM2,ssp245,r1i1p1f1,2058,2101
19,CMCC-ESM2,ssp585,r1i1p1f1,2015,2058
20,CMCC-ESM2,ssp585,r1i1p1f1,2058,2101
21,ACCESS-CM2,ssp126,r1i1p1f1,2015,2101
22,ACCESS-CM2,historical,r1i1p1f1,1985,2015
23,ACCESS-CM2,ssp245,r1i1p1f1,2015,2101
24,ACCESS-CM2,ssp585,r1i1p1f1,2015,2101
25,HadGEM3-GC31-LL,ssp126,r1i1p1f3,2015,2101
26,HadGEM3-GC31-LL,historical,r1i1p1f3,1985,2015
27,HadGEM3-GC31-LL,ssp245,r1i1p1f3,2015,2101
28,HadGEM3-GC31-LL,ssp585,r1i1p1f3,2015,2101
29,HadGEM3-GC31-MM,ssp126,r1i1p1f3,2015,2036
30,HadGEM3-GC31-MM,ssp126,r1i1p1f3,2036,2058
31,HadGEM3-GC31-MM,ssp126,r1i1p1f3,2058,2079
32,HadGEM3-GC31-MM,ssp126,r1i1p1f3,2079,2101
33,HadGEM3-GC31-MM,historical,r1i1p1f3,1985,2000
34,HadGEM3-GC31-MM,historical,r1i1p1f3,2000,2015
35,HadGEM3-GC31-MM,ssp585,r1i1p1f3,2015,2036
36,HadGEM3-GC31-MM,ssp585,r1i1p1f3,2036,2058
37,HadGEM3-GC31-MM,ssp585,r1i1p1f3,2058,2079
38,HadGEM3-GC31-MM,ssp585,r1i1p1f3,2079,2101
39,MRI-ESM2-0,ssp245,r1i1p1f1,2015,2058
40,MRI-ESM2-0,ssp245,r1i1p1f1,2058,2101
41,MRI-ESM2-0,historical,r1i1p1f1,1985,2015
42,MRI-ESM2-0,ssp585,r1i1p1f1,2015,2058
43,MRI-ESM2-0,ssp585,r1i1p1f1,2058,2101
44,KACE-1-0-G,ssp245,r1i1p1f1,2015,2101
45,KACE-1-0-G,historical,r1i1p1f1,1985,2015
